p_cluster_0,p_cluster_1,p_cluster_2,p_cluster_3,p_cluster_4,p_cluster_5,document_id
9.428677810111001e-17,0.024630422572144105,0.11230070025288422,3.524519302141632e-15,7.824554925694542e-10,0.8630688763925123,0HM2v5CvJmCjxOqcjjpA
5.031340848531614e-16,1.218699169046544e-06,0.004129160446938717,1.069479707748993e-26,4.2884584814158584e-13,0.9958696208534634,1q0f2oFC9wBVZUAcfmeB
3.471166567252361e-35,0.6323194300732576,0.3676804324437569,8.862534833294051e-18,1.3417025675541833e-07,3.3127285976407365e-09,2mLgB44XGSW7mbxCQkpn
7.01298211453502e-16,0.9654199417520923,0.03457950827601535,5.5863571738783615e-22,4.520817995325821e-12,5.499673706891253e-07,32yPG17VReUtfbQtXxYn
1.3702591933645298e-23,0.21686858531382663,0.13297727622084027,0.6492357816089388,0.0008580519889008713,6.0304867494006205e-05,3928i9uQHu6RGT0L55KW
1.347259078945259e-18,0.9736882717311546,0.026311728185025533,5.064706742319637e-25,1.2878049002174369e-11,7.094134839192321e-11,3IzVbowmEmrXHh9HHIWG
7.493088931693704e-17,0.5983628575220116,0.40163705313719644,2.0884496214355502e-29,1.4276698735312235e-12,8.93393642679839e-08,3bRACKVhuAbswtoA3CeX
3.6018659909101933e-22,0.001171519057798201,0.0019135036516866267,0.9969099163134871,8.423638101385387e-09,5.052553389862466e-06,3kIz9MjRxaOgSbaZjPl1
5.073346366916387e-19,0.9123562182161821,0.08763408636373726,3.3644041937323935e-20,5.2081080913693354e-12,9.695414873178886e-06,4JaE9mt0jkS5h87NhhGX
1.2887158285893172e-27,0.7251258431704313,0.27487415579663127,6.538603032949825e-29,2.890173910996669e-19,1.032937869656606e-09,4xz7BNST6fTWKRBpasDH
3.1715401825627167e-19,0.02152758650150035,0.9784724130672646,1.7405465029892357e-10,2.5706204259694416e-10,1.1911123086325945e-13,5fwyO6GjhRLbehFKa4KP
1.933263930734708e-28,6.67551779548641e-08,0.9881042745614319,2.2244595017411192e-45,2.3673747146371626e-12,0.011895658681022566,5tpLjq1IZPPAYH4Q3nIE
6.6889735557410266e-21,0.009097518383145438,0.9907558208596546,1.1717979946369955e-28,7.271108820038098e-10,0.000146660030088474,70JF1soclwb2OrLDBsRB
3.666216143649171e-20,1.5603979472633525e-06,0.00013868550470470307,0.9998597537170195,2.7766603601298446e-10,1.0266211776593213e-10,7O5PkcD9gG8mMiEw1lRw
1.4647185793615542e-31,0.023594609620709396,0.9759280423143851,1.060559964960166e-13,3.027968669332206e-19,0.00047734806479960866,7xASKWxmiCvzMQvlVIfz
3.129793836282635e-19,1.6276126758135688e-06,0.9998359841598221,4.5256784605203634e-34,1.027993927917471e-18,0.00016238822750197615,87xI3AVNqTK3L4CmTv0k
6.028727103558505e-19,0.00020350357112062609,0.9997964905940747,2.0533032772306886e-55,4.919531372614698e-11,5.78561028769658e-09,8TIVPYiEyEMHGwGD0dUW
3.6943128591603506e-21,7.462425199543248e-06,2.2238549392584922e-05,0.9999702621420444,2.2514107948667386e-11,3.686084926939595e-08,9QE4tMWlNI0lpUhGkrxP
0.002786015187504425,0.00019098609832033416,0.9970227077350071,2.435070024736313e-38,1.0097177385058436e-11,2.9096907157398747e-07,9TR87P202vYaohLIDb3U
3.1060919756908574e-32,0.00012085600030784691,0.021530820447486502,4.171498616487852e-33,0.9783483233280997,2.241063425218061e-10,9dxJtGwqL8g4D9V1RzHg
2.4149072177985373e-18,1.0139112377976724e-13,0.9999999999998987,1.4340431162175793e-76,1.520606006658964e-23,4.0781213722564085e-19,9rfxzc0d2V1nNngQKa7v
2.6579893851407156e-23,1.704136589549145e-07,0.0013086040399474287,2.5287969633449052e-23,2.545291404861559e-13,0.9986912255461388,AMrpfGMfwM8744vrjvYU
2.355203291436772e-26,0.98350131706487,0.01649235176648647,6.28999007578985e-06,6.355249592414705e-10,4.0543043466063916e-08,ASccOkxZCf8mzSDBYAyD
2.7386993574672565e-24,0.0010424750455562907,0.020278695808219893,3.025052529726337e-19,0.9786787329232098,9.622301462563734e-08,AhtfkIwlU6oar79vBfWY
1.5972824119883169e-19,1.6415643187685283e-05,0.00010315512157711186,0.9998780676959543,6.862394221444192e-12,2.3615324184052064e-06,AmC9iemVajvh3olwaJsJ
4.280105821865979e-31,5.42950843884287e-06,0.0019155129162858886,1.3254142976934955e-32,0.9980790575735642,1.710631622413879e-12,BoIIAyvXBQWmDxqgx6tz
0.9995028822250096,1.7870929983836137e-11,0.0004971177569618328,1.945172432281076e-41,4.446162026089182e-21,1.5780898561703156e-13,BoT8IDVYL7J4eyH59n6d
2.074268192956325e-29,2.4884943091038343e-05,0.9999751150535645,1.578780304539648e-40,9.081416810968228e-25,3.3450202978687267e-12,CrFxVyYeIMiMjvMpRjtu
3.898015629492548e-18,0.012460140581066167,0.9875249951240723,1.4499191023408619e-06,8.83109339593131e-06,4.583282362865901e-06,EGwzj3qvZE1s3lrFQmFU
1.752631885597151e-20,2.045368299727614e-06,0.9999978317300476,1.7186295304566373e-45,3.1631592696140495e-11,1.228700198931841e-07,FLjrfE0zB2kw9E3ZlCzJ
4.0007517335006205e-20,0.9385849521154898,0.0582189707028484,2.1755945363638575e-05,0.00106091055105781,0.0021134106852410328,FR9etIZ9LjFA9rZjMDeM
3.700794191248487e-24,0.009908097218706455,0.9900918136937973,4.7113601816565365e-31,9.011171507760097e-12,8.907848544320211e-08,FfA2Fpkxuue3QN4855Z5
2.280981228116363e-38,3.599936667779033e-07,0.9999996399299151,2.6674349324015395e-46,8.236510996323325e-29,7.64174915928916e-11,G1FXjJQRyy9H7D3wZWqB
6.991788560609897e-24,0.9744007248971771,0.025599274093838657,1.2293951292656983e-27,2.5660248947984774e-10,7.523815580689462e-10,G3w1poBz9ZLiV7eZ1oYf
1.9953950623919265e-26,0.9930011439101594,0.006998795764385214,4.584453285556795e-11,3.7019194910300483e-09,5.657769182045594e-08,GBQoYNII3FF2jtLQvMeM
0.9999047338379294,5.8010848525056804e-11,9.526610394211046e-05,3.1085754742336053e-37,4.171829599954382e-22,1.175341627326283e-13,GPH8SSJ90O2cAC6jLEfo
7.65148526625104e-19,9.613385751744944e-07,0.00021619261206494376,0.999782845977496,2.379693165756602e-13,7.162607803437317e-11,Gf2L478uNeS4FCiYnf9d
0.9996049737548836,3.303094858412271e-10,0.0003950259089486294,3.546668862262658e-33,5.67636294059193e-21,5.857949729432849e-12,Hq72ZXqSc68CP4AbKOnf
1.9306562501840215e-32,2.721236264657137e-07,0.0042424347158942985,5.8953460797306885e-33,0.9957572931604797,2.7045866140191376e-16,HsyPW7wcxO5jQaNAjLm9
2.218315826159077e-16,0.05614654275332381,0.943853456550328,1.6279016095036685e-27,3.013259533932428e-11,6.662151476342379e-10,IKSc8ySGvrDKctvu4TdX
1.565714789101741e-22,0.006777334911228108,0.9932083919411724,6.00704102936989e-33,1.1850370719028342e-11,1.427313575011171e-05,ISX4qpxAjjYUKSIWWKKg
1.0021303454232226e-19,0.968126952338819,0.0317308900855716,2.7093568635730264e-16,1.2360196257886133e-05,0.00012979737935093222,IkHfub7QGg8THSjbUKUi
1.819209543099476e-19,1.6394615091910753e-06,0.00012252284535631787,0.9998758375513197,4.4385212406092176e-11,9.742926637276338e-11,JPbIXlSnceIQbLBhyElh
1.1052934672841674e-11,0.8923785534044167,0.10714048432727,6.608219113994082e-15,9.027791425589452e-06,0.0004719344658284843,JeInKq1zGr2eDF5r3RfC
8.123867124529294e-27,0.8208947621346999,0.16058566160558363,0.0003470036744521226,0.018169188684276735,3.3839009877444304e-06,JfMBtK2wjwRZ8T9u5HBD
1.811320199857496e-19,0.13985503661569243,0.8601417954379968,3.4501152776307067e-28,5.422763361021791e-10,3.1674040344996185e-06,JnAXxWheOZJNyonEAmZc
2.6737160132762215e-27,7.379168353041421e-05,0.001001245829367846,1.135792711313455e-21,0.9989249619243507,5.627512567498999e-10,KISwRee6vADNNJdQgwX3
3.1818796638014216e-26,4.929238756719975e-05,0.004650402740041988,1.3124444693093072e-19,5.350636712036822e-17,0.9953003048723901,KnOlBic2fVzhQwhXyAY8
0.9747784363084907,5.138419858496434e-12,0.025221563686370792,1.2296320976564363e-46,7.325543677395204e-25,5.674242724262297e-17,KyXXqHoC2Blr787lIdQA
2.3865141923921285e-19,0.9936443695789376,0.006355473274358495,2.158870997013257e-12,8.018234510870511e-10,1.5634272094495065e-07,KyqiKZ7YdcQKZ3AG9fNo
8.591984711732183e-13,0.001983157705193042,0.07106024283966061,2.6142344607126345e-21,1.1294073476045902e-16,0.9269565994542877,Lqi8HgkqJAnIL14RD0Oz
6.835562581895768e-19,8.059049004569295e-05,0.005138905345380991,8.584990468404212e-14,0.9947783909536908,2.1132107971469344e-06,NRbdwn4AJKYcrnUE8ryk
4.862645406663212e-33,0.00035884062068629373,0.9995726539850024,6.550358164267091e-34,1.1907339480983335e-08,6.849348697137507e-05,NuOoALv972kllp3w3Epr
1.0100859010184772e-26,1.8689893767352183e-10,0.9999999998131006,4.778800021085534e-78,3.6545939618533384e-30,7.823631811270631e-19,OrVXOujfv1BYWzA38iKb
0.9839390796495713,9.570005416287007e-12,0.016060920340858813,5.872663394872737e-44,9.427190232646381e-25,3.8154339162642097e-16,PQbBj1rjqNiSW0guMitq
6.295717035177092e-22,1.546694894137924e-06,0.0018262819348164973,7.429435729580598e-17,0.9981721711820624,1.8822706074040762e-10,Puo4VkhRi1eaU3vowlhl
1.6260138473620894e-28,0.9754326054304048,0.024565078676981354,1.122639340924395e-20,2.84006767681108e-15,2.3158926114126513e-06,QDMmSHMvUI1eQXI3cdzT
9.427862993949502e-18,0.10393164459208709,0.2341220634897966,3.4850287070713255e-15,0.6460017522418937,0.01594453967621996,QJQSjeWJWepoc1XVGMND
0.9999007395900402,8.528512404709093e-11,9.926032438211657e-05,2.3847217747728492e-36,4.817196437068782e-22,2.924552286970346e-13,QgP3qVcYnNObjwSipa1F
0.9998799899978512,7.901842631112985e-11,0.00012000992288181026,1.1619664331818932e-37,3.8378066195418856e-22,2.4840040882481656e-13,Qr5GpThZqcJuAWeqSTHy
8.390749344518636e-27,7.7858313233754e-05,0.9999221155436981,4.105141851957638e-50,6.412325756599567e-18,2.6143067739337962e-08,QyYunBu0R5cJ3qY0NgKv
1.2388843603030459e-23,0.5627949633029179,0.4372050365207999,1.9128775494439344e-42,3.490716426643882e-13,1.7593322226184882e-10,TGLFRyI8v7n3WUVxfrBR
9.818256038635826e-17,0.9604148088520896,0.03958220783943846,2.881689964747588e-20,2.0225753303980516e-12,2.9833064495670723e-06,TS9rOP4NU0taxuNR58RP
2.1152994870113877e-21,9.505146533724563e-06,2.2883786618532258e-05,0.9999675829470188,2.5197852821344975e-11,2.8094630858054258e-08,TaoYUY8Cft5mo3CVmF1K
