cluster,n,mean_price,median_price,mean_saved,mean_followers,mean_delivery_cities,mean_images,mean_desc_len,pickup_rate,mean_max_prob,mean_entropy,top_category,top_city,top_delivery
0,11,38.81818181818182,35.0,0.09090909090909091,0.0,0.0,1.7272727272727273,46.18181818181818,0.9090909090909091,0.9862063974077961,0.05165130070613973,Voće,Podgorica,unavailable
1,28,19.089285714285715,15.0,0.4642857142857143,0.2857142857142857,0.25,2.4285714285714284,176.64285714285714,1.0,0.8836498067804108,0.2907540352259573,Pića i ulja,Podgorica,country
2,41,25.040243902439027,5.0,1.048780487804878,1.1951219512195121,1.1951219512195121,1.4390243902439024,55.46341463414634,0.9512195121951219,0.9767604472522861,0.0633368180930144,Pića i ulja,Podgorica,country
3,12,10.958333333333334,11.0,0.0,0.75,0.0,1.1666666666666667,90.41666666666667,0.9166666666666666,0.9700902606602688,0.079217102445595,Pčelinji proizvodi,Nikšić,country
4,9,23.333333333333332,20.0,0.0,0.4444444444444444,0.0,1.2222222222222223,0.0,0.5555555555555556,0.9538060836716168,0.14013242032831835,Pčelinji proizvodi,Bar,country
5,13,22.536923076923078,24.0,0.38461538461538464,1.2307692307692308,0.0,1.1538461538461537,26.076923076923077,1.0,0.9692757875413202,0.12506980580360946,Mesni proizvodi,Pljevlja,country
